gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-68.11,-20.061,-63.78,0.493,-0.14,0.213
-68.415,-20.427,-67.805,0.479,-0.147,0.208
-68.72,-20.427,-72.195,0.494,-0.16,0.186
-69.085,-19.939,-75.976,0.557,-0.189,0.139
-70.366,-19.329,-79.878,0.568,-0.196,0.117
-70.976,-18.11,-84.085,0.599,-0.221,0.077
-70.793,-15.793,-88.232,0.625,-0.234,0.03
-70.915,-13.537,-92.988,0.679,-0.235,-0.006
-69.939,-10.61,-97.683,0.767,-0.193,-0.025
-69.451,-6.463,-102.87,0.858,-0.188,-0.034
-67.988,-1.707,-108.48,0.925,-0.118,-0.066
-64.756,4.634,-114.33,1.026,-0.107,-0.13
-59.024,11.524,-119.82,1.136,-0.018,-0.181
-51.768,18.78,-125.43,1.333,0.048,-0.281
-44.024,26.951,-130.85,1.561,0.13,-0.378
-34.756,35.366,-137.19,1.757,0.228,-0.451
-21.951,45.793,-144.51,1.888,0.476,-0.438
-8.659,56.951,-152.38,2.007,0.808,-0.394
5,68.293,-160.85,2.099,1.149,-0.357
20.366,80.366,-169.33,2.127,1.547,-0.396
38.293,93.415,-177.68,2.02,2.026,-0.44
58.902,106.1,-187.68,1.889,2.647,-0.541
81.159,118.78,-198.48,1.789,3.361,-0.764
105.37,131.83,-209.69,1.725,4.053,-1.083
133.41,146.1,-221.52,1.664,4.786,-1.385
163.9,159.69,-233.72,1.598,5.519,-1.671
195.67,173.48,-249.02,1.594,6.129,-1.993
230.31,186.52,-265.55,1.693,6.624,-2.377
268.48,199.21,-282.07,1.912,6.874,-2.747
309.08,210.67,-298.78,2.322,6.871,-3.091
350.43,221.04,-316.28,2.766,6.608,-3.287
394.94,230.06,-333.72,3.187,6.228,-3.299
441.16,238.6,-350.18,3.522,5.703,-3.176
489.82,246.59,-363.11,3.821,4.96,-3.113
542.13,253.96,-371.16,3.986,4.282,-3.191
597.8,259.15,-369.45,3.872,3.77,-3.338
654.09,261.22,-357.93,3.532,3.452,-3.493
710.98,261.65,-338.48,3.027,3.06,-3.636
767.32,261.04,-311.04,2.466,2.685,-3.829
821.77,260.55,-276.04,1.825,2.337,-4.058
868.23,265.18,-233.17,1.193,2.086,-4.314
900.98,276.04,-183.35,0.623,1.927,-4.563
919.88,295.37,-130.55,0.11,1.864,-4.754
923.17,322.38,-75.061,-0.315,1.822,-4.818
907.68,355.37,-21.951,-0.625,1.728,-4.702
870.73,394.45,26.524,-0.824,1.562,-4.446
814.88,438.35,70.732,-0.917,1.651,-4.25
746.65,486.04,113.48,-1.062,1.898,-4.181
666.95,534.76,156.59,-1.446,1.9,-4.119
584.21,582.07,202.5,-2.067,1.905,-4.028
503.42,627.32,246.4,-2.667,2.074,-3.974
430.61,668.41,286.34,-3.108,2.19,-3.916
370.31,704.15,328.23,-3.415,2.301,-4.023
326.16,733.6,368.54,-4.206,2.533,-4.099
301.22,757.68,407.62,-5.392,2.73,-3.771
293.72,776.52,443.23,-6.954,2.213,-2.91
300.37,790.61,473.48,-8.214,1.288,-2.353
319.02,803.05,496.83,-8.052,0.875,-2.229
344.51,814.94,514.02,-6.663,0.3,-2.039
371.1,825.79,523.6,-5.035,-0.685,-2.472
389.57,834.02,526.1,-4.326,-0.936,-2.689
396.71,837.26,518.41,-4.111,-0.473,-2.259
391.95,835.73,496.1,-3.589,-0.056,-1.658
372.81,824.02,463.42,-2.904,0.244,-0.881
338.42,792.5,419.88,-2.443,0.597,-0.081
284.57,742.01,366.77,-2.325,1.091,0.543
209.76,669.21,321.16,-2.476,1.568,0.911
123.6,583.41,285.49,-2.761,2.205,1
43.476,486.71,252.26,-2.799,2.142,0.878
-12.927,392.07,222.26,-2.666,2.109,0.51
-44.39,304.45,181.71,-2.562,2.093,0.182
